Invention,Year,Inventor,Category,Category 2,Earlier independent plausible description/patent of the concept?,Other development efforts?,Other successes or near successes?,Notes,Sources,Source Link,,,
Powered dirigible flight,1852,Henri Giffard,Mechanical,,Yes,,,"Lots of previous designs, and adding engines to balloons: ""In 1670, the Jesuit Father Francesco Lana de Terzi, sometimes referred to as the ""Father of Aeronautics"",[44] published a description of an ""Aerial Ship"" supported by four copper spheres from which the air was evacuated. Although the basic principle is sound, such a craft was unrealizable then and remains so to the present day, since external air pressure would cause the spheres to collapse unless their thickness was such as to make them too heavy to be buoyant.[45] A hypothetical craft constructed using this principle is known as a vacuum airship...A more practical dirigible airship was described by Lieutenant Jean Baptiste Marie Meusnier in a paper entitled ""Mémoire sur l'équilibre des machines aérostatiques"" (Memorandum on the equilibrium of aerostatic machines) presented to the French Academy on 3 December 1783. The 16 water-color drawings published the following year depict a 260-foot-long (79 m) streamlined envelope with internal ballonets that could be used for regulating lift: this was attached to a long carriage that could be used as a boat if the vehicle was forced to land in water. The airship was designed to be driven by three propellers and steered with a sail-like aft rudder. In 1784, Jean-Pierre Blanchard fitted a hand-powered propeller to a balloon, the first recorded means of propulsion carried aloft. In 1785, he crossed the English Channel in a balloon equipped with flapping wings for propulsion and a birdlike tail for steering.[49]...The 19th century saw continued attempts to add methods of propulsion to balloons. Rufus Porter built and flew scale models of his ""Aerial Locomotive"", but never a successful full-size implementation.[50] The Australian William Bland sent designs for his ""Atmotic airship"" to the Great Exhibition held in London in 1851, where a model was displayed. This was an elongated balloon with a steam engine driving twin propellers suspended underneath. The lift of the balloon was estimated as 5 tons and the car with the fuel as weighing 3.5 tons, giving a payload of 1.5 tons.[51][52] Bland believed that the machine could be driven at 80 km/h (50 mph) and could fly from Sydney to London in less than a week.""",Wikipedia,https://en.wikipedia.org/wiki/Airship#History,,,
Reinforced concrete,1853,Francois Coignet,Mechanical,,,Yes,,Work of Lambot and Monier,Early Reinforced concrete (amazon kindle) p xvi,,,,
Practical three-color photography,1855,James Clerk Maxwell,Chemical,,,,Yes,"""French histories of photography have claimed that Charles Cros and Ducos du Hauron simultaneously invented its application to photography around 1868,[1] though English histories of photography have claimed that it was first suggested by J. C. Maxwell[2] and defectively demonstrated with the help of Thomas Sutton in 1861 (according to Maxwell himself, Sutton's widespread photochemistry wasn't sensitive enough to red and green light)."" , ""Levi Hill (26 February 1816 − 9 February 1865)[1] was an American minister in upstate New York who claimed in 1851 that he had invented a color photographic process. Borrowing terms previously introduced in France, Hill called his process ""heliochromy"" and the photographs that it produced ""heliochromes"", but by analogy to the naming of the then-current daguerreotype process after its inventor Louis Daguerre, Hill's color photographs were soon being called ""Hillotypes"".[2] Hill's work was met with skepticism during his lifetime, then for more than a hundred years after his death histories of photography routinely dismissed it as a complete fraud. Later researchers found that his very difficult process did in fact have a limited ability to reproduce the colors of nature""",Wikipedia,https://en.wikipedia.org/wiki/Trichromy,https://en.wikipedia.org/wiki/Levi_Hill,,
Bessemer Steel Process,1855,Henry Bessemer,Chemical,,,,,"William Kelly worked with air blasts but wasn't near success, and he wasn't even trying to make steel. ""Kelly's right to be adjudged the joint inventor of what is now often called the Kelly-Bessemer process is questionable.[120] Admittedly, he experimented in the treatment of molten metal with air blasts, but it is by no means clear, on the evidence, that he got beyond the experimental stage. It is certain that he never had the objective of making steel, which was Bessemer's primary aim. Nor is there evidence that his process was taken beyond the experimental stage by the Cambria Works. The rejection of his ""apparatus"" by W. F. Durfee must have been based, to some extent at least, upon the Johnstown trials.""","Wikipedia, The beginnings of cheap steel",https://en.wikipedia.org/wiki/William_Kelly_(inventor),https://www.gutenberg.org/cache/epub/29633/pg29633.txt,,
Parkesine/celluoid,1856,Alexander Parkes,Chemical,,,Yes,,"""…the attraction of applying nitrocellulose to use as a plastic or as a waterproofing was not confined to just a few experimenters. A list of patents was introduced during the litigation of the 1880s to show the broad scope of pyroxylin applications attempted even before Daniel Spill's 1869 patents. Aside from Parkes's, the British patents listed included those issued to James Cutting, Louis Cornides, Stephen Barnwell and Alexander Rollason, and William E. Newton...These were a mere fraction of the British patents related to pyroxylin in the period between 1859 and 1870...American inventors were slower to get involved in the search for pyroxylin applications, but by the late 1860s they too had collected a lengthy list of patents.""",Pioneer plastic p12-13,,,,
Vapour-compression ice machine,1856,James Harrison,Mechanical,Chemical,,,Yes,"""In 1748, the first known artificial refrigeration was demonstrated by William Cullen at the University of Glasgow.[1] Mr. Cullen never used his discovery for any practical purposes. This may be the reason why the history of the icemakers begins with Oliver Evans, an American inventor who designed the first refrigeration machine in 1805. In 1834, Jacob Perkins built the first practical refrigerating machine using ether in a vapor compression cycle. The American inventor, mechanical engineer and physicist received 21 American and 19 English patents (for innovations in steam engines, the printing industry and gun manufacturing among others) and is considered today the father of the refrigerator.[2]

In 1844, an American physician, John Gorrie, built a refrigerator based on Oliver Evans' design to make ice to cool the air for his yellow fever patients.[3] His plans date back to 1842, making him one of the founding fathers of the refrigerator. Unfortunately for John Gorrie, his plans of manufacturing and selling his invention were met with fierce opposition by Frederic Tudor, the Boston “Ice King”. By then, Tudor was shipping ice from the United States to Cuba and was planning to expand his business to India. Fearing that Gorrie’s invention would ruin his business, he began a smear campaign against the inventor. In 1851, John Gorrie was awarded U.S. Patent 8080 for an ice machine.[4] After struggling with Tudor's campaign and the death of his partner, John Gorrie also died, bankrupt and humiliated. His original icemaker plans and the prototype machine are held today at the National Museum of American History, Smithsonian Institution in Washington, D.C.[5]

In 1853, Alexander Twining was awarded U.S. Patent 10221 for an icemaker. Twining’s experiments led to the development of the first commercial refrigeration system, built in 1856. He also established the first artificial method of producing ice. Just like Perkins before him, James Harrison started experimenting with ether vapor compression. In 1854, James Harrison successfully built a refrigeration machine capable of producing 3,000 kilograms of ice per day and in 1855 he received an icemaker patent in Australia, similar to that of Alexander Twinin""",Wikipedia,https://en.wikipedia.org/wiki/Icemaker,,,
Mauveine synthetic dye,1856,William Henry Perkin,Chemical,,,,,,,,,,
Geissler tube,1857,Heinrich Geissler,Electrical,Chemical,,,,,,,,,
Phonautograph,1857,Édouard-Léon Scott de Martinville,Mechanical,,,,,,,https://en.wikipedia.org/wiki/%C3%89douard-L%C3%A9on_Scott_de_Martinville,,,
Lead-acid rechargeable battery,1859,Gaston Plante,Chemical,,,,Yes,"Yes, Wilhelm Sinsteden ""It was not until 1859 that the first “modern” LAB was made by Gaston Planté who also discovered the Pb/H2SO4 system independently of Sinsteden [19], [20]. Planté was quicker to apply his research to a practical product.""",The Early-Modern History Of The Lead Acid Battery: 1840 To 1940,https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/68177d86e561f77ed4034389/original/the-early-modern-history-of-the-lead-acid-battery-1840-to-1940.pdf,,,
Carbon fiber,1860,Joseph Swan,Other,,,,Yes,"Other carbon fiber efforts for similar purposes. ""In 1860, Joseph Swan produced carbon fibers for the first time, for use in light bulbs.[5] In 1879, Thomas Edison baked cotton threads or bamboo slivers at high temperatures carbonizing them into an all-carbon fiber filament used in one of the first incandescent light bulbs to be heated by electricity.[6] In 1880, Lewis Latimer developed a reliable carbon wire filament for the incandescent light bulb, heated by electricity""",Wikipedia,https://en.wikipedia.org/wiki/Carbon_fibers,,,
Pasteurization,1864,Louis Pasteur,Medical,,,,,,,https://www.thelancet.com/journals/lanmic/article/PIIS2666-5247(22)00324-X/fulltext,,,
Siemens-martin open-hearth steel process,1865,Carl Siemens and Pierre Martin,Chemical,,,,,,,,,,
Dynamite,1867,Alfred Nobel,Chemical,,,,,,,,,,
Barbed wire,1867,Lucien Smith,Mechanical,,,,Yes,"""As we have seen, the first two patents for barbed wire were
French: those of Grassin-Baledans in  and Jannin in . These
were followed in  by two American patents registered in the
names of Alphonso Dabb of Elizabethport, New Jersey ( April),
and Lucien B. Smith of Kent, Ohio ( June). Hunt’s patent was
registered in July  and, just over four weeks later, the third
French patent was issued to Gavillard. There is nothing to suggest
that either the Americans or the French were aware of the others’
inventions.Yet within seven years, and concentrated in just one year,
, a total of six patents were recorded in the two countries. These,
however, did not display any homogeneity of purpose""","The Devli's Rope, p19",,,,
PVC,1872,Eugen Baumann,Chemical,,,,Yes,"""Henri Victor Regnault and Eugen Baumann are both credited with the unintentional discovery of PVC in 1835 and 1872, respectively, but neither followed up on the discovery, probably owing to difficulties with handling the material. It was not until 1913 that the German chemist Friedrich Heinrich August Klatte received the first patent for PVC with his process for the polymerization of vinyl chloride using sunlight.""",100th Anniversary of the First PVC Patent,https://www.chemistryviews.org/details/ezine/4899111/100th_Anniversary_of_the_First_PVC_Patent/,,,
"Early ""stainless"" steel",1872,JET Woods and J Clark,Chemical,,,,Yes,"Many subsequent independent efforts. ""Seven men, unknown to each other and living in four different countries, inadvertently discovered alloys that we now call stainless 
steel in the period from approximately 1905 to 1912.""","The History of Stainless Steel, p2",,,,
Rotary cement kiln,1873,Frederick Ransome,Mechanical,,,,,"There were earlier rotary kilns used in other industries, but not for cement. Early American efforts used Ransome's patent",,,https://www.survivorlibrary.com/library/rotary_kiln-1910.pdf,,
Crookes radiometer,1873,William Crookes,Other,,,,,,,,,,
Gramme dynamo,1873,Zenobe Gramme,Electrical,,,,Yes,"Many other dynamos: ""The dynamo was the first electrical generator capable of delivering power for industry. The modern dynamo, fit for use in industrial applications, was invented by Henry Wilde with his paper presented to The Royal Society by Michael Faraday on 26th March 1866.[11] It was independently invented by Sir Charles Wheatstone, Werner von Siemens and Samuel Alfred Varley. Varley took out a patent on 24 December 1866, while Siemens and Wheatstone both announced their discoveries on 17 January 1867, by delivering papers at the Royal Society.[12][13]""",Wikipedia,https://en.wikipedia.org/wiki/Dynamo,,,
Metal detector,1874,Gustave Trouve,Electrical,,,Yes,,"Hughes demonstrated an induction balance in 1879 (working on a different principle) that served as a metal detector (and would later be used in metal detectors): ""If we place in the coils of the induction balance a piece of metal, say copper, bismuth, or iron, we at once produce a distrubance of the balance, and it will give out sounds more or less intense on the telephone according to the mass...""",Proceedings of the Royal society v29 1879,https://babel.hathitrust.org/cgi/pt?id=mdp.39015033442891&view=1up&seq=78,,,
Electric tram,1875,Fyodor Pirotsky,Mechanical,Electrical,,,Yes,"Lots of people experimented with electric trams. Many of them used Siemens' system, which was possibly inspired by Pirotsky, but not all of them: ""...in 1837, Robert Davidson (1804–1894) of Aberdeen, Scotland, built a small electric motor that included a two-electromagnet stator and a threesalient pole rotor, an archetype of the 
reluctance motor [2]. He then used four such motors in the first full-sized sixton electric locomotive, called Galvani, which was presented at the exhibition 
of the Royal Scottish Society of Arts in 1841 and tested on the Edinburgh and Glasgow Railway in 1842. It reached a speed of 6.4 km/h, with no passengers 
and freight. It was powered by disposable on-board zinc batteries that 
were 40 times more expensive than comparable coal fuel. Nevertheless, it 
was destroyed while parked in a shed, reportedly by steam locomotive engineers concerned about its potential. In 1840, Johann Philipp Wagner (1799–1879) of Frankfurt, Germany, built a small electric locomotive that towed a trailer on a circular railway 20 m in circumference. As a result, he received funding in the amount of 100,000 guilder for building a larger version, but the project failed due to the inadequacy of its motor and battery.""",Electric Tramways of the 19th Century,https://www.research.unipd.it/bitstream/11577/3340486/1/TramElettrici.pdf,,,
Four-stroke engine,1876,Nikolaus Otto,Mechanical,,Yes,,,"""Although an earlier patent by French engineer Alphonse de Rochas was found, Otto built the first practical and successful four-stroke cycle engine""",NIHF,https://www.invent.org/inductees/nicolaus-august-otto,,,
Telephone,1876,Alexander Graham Bell,Electrical,,,Yes,,"Elisha Gray filed the same day. ""A few hours later the same day - the precise times are not recorded, but the order of events Is unquestioned-Elisha Gray came to the same Patent Office and filed a ""caveat,"" or warning to other inventors, for a speaking telephone."" Johann Reis also invented one.","Telephone by John Brooks, p47",https://en.wikipedia.org/wiki/Elisha_Gray_and_Alexander_Bell_telephone_controversy,https://en.wikipedia.org/wiki/Invention_of_the_telephone,,
Phonograph,1877,Thomas Edison,Electrical,,Yes,,,"""In 1877 Cros wrote a paper that described a process of recording sound on a glass disc. Like that of his countryman Édouard-Léon Scott de Martinville, Cros’s process involved tracing sound waves by the lateral movement of a stylus on lampblacked glass. Cros suggested that this glass could be photoengraved to produce lines in relief and somehow could be used to replay the recorded sound. He gave a copy of his paper to the French Academy of Sciences in April 1877, three months before Thomas Edison’s invention of the phonograph, but did not patent the process until May 1878 and never made a working model""",Britannica,https://www.britannica.com/biography/Charles-Cros,,,
Closed-circuit rebreather,1878,Henry Fleuss,Mechanical,Chemical,,,,,,https://en.wikipedia.org/wiki/Rebreather#History,,,
Pelton Wheel,1878,Lester Allan Pelton,Mechanical,,,,Yes,"""the Pelton water wheel does in fact represent a genuine instance of multiple invention. The essential feature of the Pelton Design - the split bucket - was indepdently, identically, and multiply invented by several individuals. The locations were identical: Northern california. Purposes were identical to make use of the special water power resources of that area. Time proximity is very close: at the most ten or twelve years, morelikely three or four years.""",Origins of the turbojet revolution p54,,,,
Incandescent light bulb,1879,Thomas Edison,Electrical,,,,Yes,"More than a dozen attempts to make an incandescent light bulb prior to Edison, and Edison was simultaneous with Joseph Swan: ""In what are considered to be independent lines of inquiry, Swan's incandescent electric lamp was developed at the same time that Thomas Edison was working on his incandescent lamp,[37] with Swan's first successful lamp and Edison's lamp both patented in 1880.""",Wikipedia,https://en.wikipedia.org/wiki/Joseph_Swan#Conjunction_with_Edison,,,
Carbon arc welding,1881,Nikolay Benardo and Stanislaw Olszewski,Electrical,,,,,,,,,,
Recoil-operated machine gun,1884,Hiram Maxim,Mechanical,,,,,,,https://digitalcommons.library.umaine.edu/cgi/viewcontent.cgi?article=1243&context=mainehistoryjournal,,,
Poudre B Smokeless powder,1884,Paul Vieille,Chemical,,,,Yes,"Lots of efforts: ""The first smokeless powder was developed in 1865 by Johann Edward Schultze. At the time of this breakthrough, Schultze was a captain of Prussian artillery. Schultze eventually rose to the rank of colonel. His formulation (dubbed Schultze Powder) was composed of nitrolignose derived from nitrated wood grains, impregnated with saltpetre or barium nitrate.[5][6][7]

In 1882, the Explosive Company of Stowmarket introduced EC Powder, which contained nitro-cotton and nitrates of potassium and barium in a grain gelatinised by ether alcohol. It had coarser grains than other nitrocellulose powders. It proved unsuitable for rifles, but it remained in long use for shotguns[8] and was later used for grenades and fragmentation bombs.[9]

In 1884, the French chemist Paul Vieille produced a smokeless propellant that had some success. It was made out of collodion (nitrocellulose dissolved in ethanol and ether), resulting in a plastic colloidal substance which was rolled into very thin sheets, then dried and cut up into small flakes. It was immediately adopted by the French military for their Mle 1886 infantry rifle and called Poudre B (for poudre blanche, or white powder) to distinguish it from black powder (gunpowder). The rifle and the cartridge developed to use this powder were known generically as the 8mm Lebel, after the officer who developed its 8 mm full metal jacket bullet.[10]

The following year, 1887, Alfred Nobel invented and patented a smokeless propellant he called Ballistite.[11] """,Wikipedia,https://en.wikipedia.org/wiki/Ballistite,https://en.wikipedia.org/wiki/Cordite,,
Steam turbine,1884,Charles Parsons,Mechanical,,,,Yes,"""Four men are commonly portrayed as the early pioneers in the invention fo the steam turbine: Carl Gustav Patrick De Laval, Charles Parsons, August Rateau, and Charles G. Curtis. Each invented, patented, and developed a stema turbine.""",Origins of the turbojet revolution p68,,,,
Closed core transformer,1884,"Zipernowsky-Bláthy-Déri, “ZBD”",Electrical,,,Yes,,"""In 1886, Gaulard developed an improved version of his secondary generator, with a closed iron core. However, he had been preceded by Hungarian engineer Ottó Titusz Bláthy (1860–1939) of Ganz & Co., Budapest, who, in 1885, had built the first transformer with a toroidal closed core;""",Who Invented the Transformer?,,,,
Safety bicycle,1885,John Kemp Starley,Mechanical,,,,Yes,"""The first bicycle to be called a ""safety"" was designed by the English engineer Henry (""Harry"") Lawson in 1876,[6] although other bicycles which fit the description had been developed earlier, such as by Thomas Humber in 1868.[7] Unlike with penny-farthings, the rider's feet were within reach of the ground, making it easier to stop. The pedals powered the rear wheel, keeping the rider's feet safely away from the front wheel. The original treadle bicycle model used treadles to transfer power to the rear wheel, while the later 1879 model used a chain drive, an important new technology that had previously only been used on tricycles. Lawson's safety failed to catch on, perhaps because of its increased cost, weight and complexity compared to the penny-farthing.[6] One other variation that appeared at about the same time is the dwarf, exemplified by the Kangaroo, and with a chain-driven front wheel.

By 1885, the safety bicycles cataloged in Henry Sturmey's Indispensable Handbook to the Safety Bicycle included 7 with lever front-drives, 44 with geared front-drives, and only 9 with chain rear-drives.[4][5] In that same year, John Kemp Starley (J. K. Starley) came out with the first commercially successful safety bicycle he named the Rover.""",Wikipedia,https://en.wikipedia.org/wiki/Safety_bicycle,,,
Zinc-carbon dry cell,1886,Carl gassner,Chemical,,,,,,,https://en.wikipedia.org/wiki/Zinc%E2%80%93carbon_battery,,,
Hall-Heroult process,1886,Charles Hall and Paul Heroult,Chemical,,,,Yes,"""The Hall–Héroult process was invented independently and almost simultaneously in 1886 by the American chemist Charles Martin Hall[11] and by the Frenchman Paul Héroult[12]—both 22 years old""",Wikipedia,https://en.wikipedia.org/wiki/Hall%E2%80%93H%C3%A9roult_process#Independent_discovery,,,
Petrol automobile,1886,Karl Benz,Mechanical,,,,Yes,"""Independently of each other, Karl Benz and Gottlieb Daimler each produced an automobile in 1886, both in Germany, about 60 miles apart.[20]

About sixty miles away in Mannheim, Karl Benz built an automobile using an integral design for a motorized vehicle with one of his own engines.""",Wikipedia,https://en.wikipedia.org/wiki/Gottlieb_Daimler,,,
Bayer alumina process,1887,Carl Bayer,Chemical,,,,,,,,,,
Wind-generated electricity,1887,James Blyth,Mechanical,Electrical,,,Yes,"""It didn’t take long for windmills connected to electric generators to be built. James Blythe, a professor in Glasgow, built a windmill in 1887 that used a generator to charge batteries to power the lights in his vacation home. The same year a similar system was built in La Hève Cape in France to provide power to homes. In the US, inventor Charles Brush built a huge windmill to power the 350 lightbulbs in his Cleveland mansion in 1890.""",Construction Physics,https://www.construction-physics.com/p/why-did-we-wait-so-long-for-wind,,,
Gold cyanidation,1887,MacArthur–Forrest brothers & John S. MacArthur,Chemical,,,,,,,https://www.scienceopen.com/document_file/a58552a2-1b8f-4065-8f68-d9eb0f902cc7/ScienceOpen/08109028908629041.pdf,,,
Ballpoint pen,1888,John Loud,Mechanical,,,,,,,,,,
Kinetoscope motion picture viewer,1888,Thomas Edison and WKL Dickson,Other,,,,Yes*,"Supposedly edison stole the work of Louis Le Prince, though it seems he had been working on it prior to that! ""On the morning of October 14, 1888, Louis Le Prince set up a heavy wooden box in the garden of his father-in-law’s small manor house on the outskirts of Leeds. The box was made of Honduran mahogany, burnished to a soft sheen, and stood on splayed applewood legs with iron fixtures. Le Prince turned the brass crank and began filming. The surviving footage is so mundane that it takes a mental adjustment to recall that for its early viewers it would have been nothing short of a miracle: the world’s first motion picture.""",Harpers,https://harpers.org/archive/2022/04/who-killed-louis-le-prince-on-the-forgotten-father-of-film/,,,
Experimental proof of radio waves,1888,Heinrich Hertz,Electrical,,,,,"David Hughes noticed it but didn't follow up: ""Hughes seems to have come across the phenomenon of radio waves nine years before they were proven to exist by Heinrich Hertz in 1888.[3][6] In 1879 while working in London Hughes discovered that a bad contact in a Bell telephone he was using in his experiments seemed to be sparking when he worked on a nearby induction balance.[6][10][11] He developed an improved detector to pick up this unknown ""extra current"" based on his new microphone design and developed a way to interrupt his induction balance via a clockwork mechanism to produce a series of sparks. By trial and error experiments he eventually found he could pick up these ""aerial waves"" as he carried his telephone device down the street out to a range of 500 yards (460 m).[6]

On February 20, 1880, he demonstrated his technology to representatives of the Royal Society including Thomas Henry Huxley, Sir George Gabriel Stokes, and William Spottiswoode, then president of the Society. Stokes was convinced the phenomenon Hughes was demonstrating was merely electromagnetic induction, not a type of transmission through the air.[12][13][14] Hughes was not a physicist and seems to have accepted Stokes observations and did not pursue the experiments any further""",Wikipedia,"https://en.wikipedia.org/wiki/David_Edward_Hughes#:~:text=Hughes%20did%20not%20publish%20his,known%20as%20crystal%20radio%20detectors.",,,
Practical pneumatic tyre,1888,John Dunlop,Mechanical,,,,Yes,"""The credit for the pneumatic tyre must go to two men: John Boyd Dunlop, who developed it in Ireland in 1888, and Robert W. Thomson of England who had patented it 43 years earlier in 1845. By a strange coincidence, the two men invented the same thing decades apart, although neither one was aware of the other.""",The History Press,https://thehistorypress.co.uk/article/from-discomfort-to-joy-dunlops-pneumatic-bicycle-tyre/,,,
Chlorofluorocarbon refrigerant,1890,Frederic Swarts,Chemical,,,,,,,,,,
Pre-cut folding cardboard box,1890,Robert Gair,Mechanical,,,,,,,https://pure.mpg.de/rest/items/item_3165633/component/file_3250271/content#page=445,,,
Zipper,1891,Whitcomb Judson,Mechanical,,,,,,Zipper p68,,,,
Cinematograph,1892,Leon Bouly,Other,,,,Yes,See Kinetoscope above,,,,,
Electric oven,1892,Thomas Ahearn,Electrical,,,,Yes,"""the Carpenter Electric Heating Manufacturing Company produced an electric stove in 1891, the first patent for an electric stove was granted to William hadaway in 1896"", ""IN 1895, a paper presented by RE crompton to the Royal Society…contained illustrations for an electric hot plate, an electric frying pan, an electric saucepan, and an electric grill""","The Wire That Made Cooking electric, 1001 inventions that changed the world",https://arrow.tudublin.ie/cgi/viewcontent.cgi?article=1219&context=dgs,https://books.google.com/books?id=D_Q1EAAAQBAJ&pg=PA495&dq=electric+range+invention+hadaway&hl=en&newbks=1&newbks_redir=0&sa=X&ved=2ahUKEwiJr672-7eNAxUL_skDHQv1N84Q6AF6BAgJEAM#v=onepage&q=electric%20range%20invention%20hadaway&f=false,,
"Compression ""diesel"" engine",1893,Rudolph Diesel,Mechanical,,,,,"Hot-bulb engine also used compression but was different than Diesel's (ignites from hot metal, rather than pure compression)",,https://en.wikipedia.org/wiki/Hot-bulb_engine,,,
Rubber surgical gloves,1893,William Halstead,Medical,,,,Yes,"""TO' protect the patient from these accidental infections, Halstead in 1889 suggested the use of rubber gloves. Robb, in 1892, suggested their general use, and also for protection of the hands between the time of hand sterilization and the beginning of operations in private houses . where the surgeon often has other duties than the operation. Bloodgood, in December, 1896, was probably the first to wear gloves 
himself in all operations, and cause all who participated to do so.""",Rubber gloves in surgery,https://pmc.ncbi.nlm.nih.gov/articles/PMC4301372/pdf/QBullNorthwestUnivMedSch-2-8-607_52.pdf,,,
Wireless telegraphy,1895,Guglielmo Marconi,Electrical,,,,Yes,"""In 1895 Bose gave his first public demonstration of electromagnetic waves, using them to ring a bell remotely and to explode some gunpowder. In 1896 the Daily Chronicle of England reported: ""The inventor (J.C. Bose) has transmitted signals to a distance of nearly a mile and herein lies the first and obvious and exceedingly valuable application of this new theoretical marvel."" Popov in Russia was doing similar experiments, but had written in December 1895 that he was still entertaining the hope of remote signalling with radio waves. The first successful wireless signalling experiment by Marconi on Salisbury Plain in England was not until May 1897. The 1895 public demonstration by Bose in Calcutta predates all these experiments.""",NRAO,https://www.cv.nrao.edu/~demerson/bose/bose.htm,,,
X-ray,1895,Wilhelm Röntgen,Other,,,,,"Was noticed by accident earlier: ""On February 22, 1890, Dr Arthur Goodspeed and William Jennings made the first x-ray photograph, in the physical lecture room of the University of Pennsylvania. On that evening, Goodspeed and Jennings had been making brush electrographs of coins and brass weights. After they finished their experiments, Jennings stacked all of the photographic plates; two coins--either left from the experiments or Jennings' trolley fare--were placed on top of the plates. Goodspeed then demonstrated to Jennings the university's collection of Crookes tubes, with the idea of photographing the glow from the tube. While the two men were talking, however, the Crookes tube was emitting x radiation that affected the nearby plates. After the plates were developed, Jennings noted that one had the shawdow(s) of a disk(s) on it; neither man could explain the image. On hearing of Roentgen's work in 1896, Goodspeed and Jennigns retrieved the original plate and reproduced their ""accident."" The glass plate was subsequently lost among library archives""",The first radiation accident in America: a centennial account of the x-ray photograph made in 1890,https://pubmed.ncbi.nlm.nih.gov/1947073/,,,
Cloth surgical mask,1897,Jan Mikulicz-Radecki & Paul Berger,Medical,,,,Yes,"""Johann Mikulicz, head of the surgery department of the University of Breslau (now Wroclaw, Poland) started working with the local bacteriologist Carl Flügge, who had shown experimentally that respiratory droplets carried culturable bacteria. In response to these findings, Mikulicz started to wear a face mask in 1897, which he described as “a piece of gauze tied by two strings to the cap, and sweeping across the face so as to cover the nose and mouth and beard”. In Paris, the surgeon Paul Berger also began wearing a mask in the operating room the same year.""",A history of the medical mask and the rise of throwaway culture,https://pmc.ncbi.nlm.nih.gov/articles/PMC7255306/?utm_source=chatgpt.com,,,
Polyethylene,1898,Hans von pechmann,Chemical,,,,Yes,"Subsequent independent efforts. ""The discovery of stereoregular polymers is no exception. It was  foreshadowed by certain events in polymer science and by aborted discoveries that, like minor tremors preceding a major earthquake, can be 
seen afterwards as signalling and triggering earth-shaking events. Karl 
Ziegler and Giulio Natta are justly famous for their epochal discoveries: 
Ziegler for his linear, crystalline polyethylene, Natta for his isotactic, 
crystalline polypropylene and other stereoregular polymers*.Yet Ziegler 
was not the first to make a linear polyethylene, and stereoregular 
polymers were postulated, prepared and published prior to 
Natta’s work. 
Linear, crystalline ‘polyethylene’ was, in fact, made half a century before Ziegler by another German, named von Pechmann...Since this was purely a laboratory method, the product was regarded as merely a laboratory curiosity, and neither von Pechmann nor anyone else was stimulated to seek a practical route for duplicating this entirely 
novel product.""",The Chain Straighteners p9-10,,,,
Nickel cadmium rechargeable battery,1899,Waldemar Jungner,Chemical,,,,,"Edison followed Junger's with a nickel-iron battery, possibly independently? ""The first secondary battery to successfully compete with the lead-acid battery was developed by E.W. Jungner. In a patent filed in his native Sweden, Jungner first described a nickel-iron cell in 1897, followed in 1901 by a patent replacing iron with cadmium.45,46 In 1901, Thomas Edison also obtained a United States patent for a nickel-iron secondary battery.47 It is unclear if Edison was aware of the work of Jungner at the time""",Energy on demand: a brief history of the development of the battery,,,,
Zeppelin LZ-1 Rigid airship,1900,Theodor Kober and Count Zeppelin,Mechanical,,,,Yes,"David Schwarz: ""Schwarz first became interested in airships during the 1880s. This occurred while working away from home supervising the felling of some forest land. As the work took longer than planned, he had his wife send him books to while away the evenings. These included a mechanics textbook. Although Schwarz became excited, it is not certain that this inspired him to build his own airship. His lumber business suffered due to his obsession and, like other aviation pioneers, his project attracted mockery. Nevertheless, his wife Melanie supported him. Schwarz proposed aluminium, then a very new material, for construction.

Having worked out the design of an all-metal airship, Schwarz then offered his ideas to the Austro-Hungarian war minister. Some interest was shown, but the government was not ready to provide financial support.

The Russian military attaché, a technically educated man, advised Schwarz to demonstrate his airship in St. Petersburg, where an airship using Schwarz's ideas was built in 1893.[10][11] Schwarz, and later his widow, assumed that test flights would also be made there, but this did not happen. He began construction in late 1892, with the industrialist Carl Berg supplying the aluminium and necessary funding""",Wikipedia,https://en.wikipedia.org/wiki/David_Schwarz_(aviation_inventor),,,
Powered suction vacuum cleaner,1901,Hubert Booth and David Kenney,Mechanical,,,,Yes,"""In 1901, powered vacuum cleaners using suction were invented independently by British engineer Hubert Cecil Booth and American inventor David T. Kenney.""",Wikipedia,https://en.wikipedia.org/wiki/Vacuum_cleaner,,,
